word,part_of_speech,definition
abase,verb,verb: lower; degrade; humiliate; make humble
abash,verb,"verb: make someone feel embarrassed, ashamed, or self-conscious"
abashed,adjective; verb,adjective; verb: feeling or caused to feel ill at ease or self-conscious or ashamed; cause to be embarrassed; cause to feel self-conscious
abate,verb,verb: subside or moderate
abdicate,verb,"verb: renounce; give up (position, right, or responsibility)"
aberrant,adjective,adjective: abnormal or deviant
aberration,noun,noun: deviation from the normal; mental disorder
abet,verb,verb: assist usually in doing something wrong; encourage
abeyance,noun,noun: suspended action
abhor,verb,verb: detest; hate
abject,adjective,adjective: (of a condition) wretched; as low as possible; lacking pride; very humble
abjure,verb,verb: renounce upon oath
abnegate,verb,"verb: renounce or reject something, especially a belief, privilege, or right"
abomination,noun; verb,noun; verb: a person who is loathsome or disgusting; hate coupled with disgust
aboriginal,adjective,adjective: being the first of its kind in a region; primitive; native; indigenous
abort,noun; verb,noun; verb: the act of terminating a project or procedure before it is completed; terminate before completion
abound,verb,verb: be abundant or plentiful; exist in large quantities; be in a state of movement or action
aboveboard,adjective,adjective: without concealment or deception; honest; in an honest manner
abrasive,adjective,adjective: rubbing away; tending to grind down
abreast,adjective,"adjective: being up to particular standard or level especially in being up to date in knowledge; alongside each other, facing in the same direction"
abridge,noun,noun: condense or shorten
abrogate,verb,"verb: formally repeal, cancel, or abolish a law or agreement"
abscission,noun,noun: cutting off; separation
abscond,verb,verb: depart secretly and hide
absolute,adjective,adjective: complete; totally unlimited; having complete power; certain
absolve,verb,verb: pardon (an offense)
abstain,noun,noun: refrain; withhold from participation; intentionally not use one's vote
abstemious,adjective,adjective: sparing in eating and drinking; temperate
abstruse,noun,noun: obscure; profound; difficult to understand
abysmal,adjective,adjective: extremely bad; immeasurably deep or seemingly bottomless
abyss,noun,noun: enormous chasm; vast bottomless pit
acarpous,adjective,adjective: producing no fruit
accede,noun,"noun: agree to a request, demand, or proposal; assume office"
accentuate,verb; adjective,"verb; adjective: to stress, single out as important; put stress on; utter with an accent"
accessible,adjective,adjective: easy to approach; obtainable
accession,noun,noun: the act of taking office or adding to a collection or amount
acclaim,verb,verb: applaud; praise; greet with great approval; announce with great approval
accolade,noun,noun: award of merit; strong praise and approval
accretion,verb,verb: growth or increase in size by gradual addition; growth; increase; increase by natural growth
accumulate,noun,noun: get or gather together; collect or gather
acerbic,adjective,adjective: sour or bitter in taste; harsh or corrosive in tone
